区域,小区名称,户型,面积,价格(万),单价(元/平米),性质,朝向,装修,是否有电梯,楼层,建筑年代,楼型
东城,兴隆都市馨园 ,3室2厅,92.1,990,107492,房本满五年,东,简装,无电梯,低楼层(共6层)2003年建板塔结合,,-
东城,交道口东大街 ,1室1厅,66.41,925,139287,房本满五年,南,其他,无,高楼层(共10层)2003年建板塔结合,,-
东城,幸福家园三期 ,3室2厅,126.4,1560,123418,房本满五年,南北,精装,无,低楼层(共12层)2005年建板塔结合,,-
东城,民安小区东直门内北小街 ,2室1厅,77.08,880,114168,房本满五年,东西,简装,无,高楼层(共16层)2003年建板楼,,-
东城,西总布胡同55号院 ,3室1厅,66.58,760,114149,房本满五年,东南,简装,无电梯,中楼层(共6层)1990年建板楼,,-
东城,安贞苑50号院 ,2室1厅,88.95,980,110175,房本满五年,南北,简装,无电梯,中楼层(共6层)2000年建板楼,,-
东城,京宝花园 ,1室1厅,78.04,580,74321,,西,简装,有电梯,低楼层(共12层)1994年建板楼,,-
东城,草园胡同 ,2室1厅,63.8,700,109718,,东西,简装,无,底层(共6层)1993年建板楼,,-
东城,小羊宜宾胡同 ,3室1厅,81.31,870,106998,,东西,简装,无电梯,低楼层(共6层)1990年建板楼,,-
东城,东直门内大街 ,2室1厅,80.44,935,116236,,西南,简装,有电梯,高楼层(共16层)2002年建塔楼,,-
东城,沙子口路61号 ,2室1厅,61.29,480,78317,,东西,精装,无电梯,高楼层(共6层)1987年建板楼,,-
东城,板厂南里 ,2室1厅,49.73,570,114619,房本满五年,南,精装,无电梯,顶层(共5层)1980年建板楼,,-
东城,东花市北里西区 ,2室2厅,134.86,1500,111227,房本满五年,南北,简装,有电梯,低楼层(共9层)1996年建板楼,,-
东城,金世纪嘉园 ,2室1厅,116.89,1200,102661,房本满五年,西南,精装,有电梯,中楼层(共21层)2003年建塔楼,,-
东城,小黄庄一区 ,3室1厅,90.28,860,95260,房本满五年,南北,简装,有电梯,中楼层(共21层)1990年建板塔结合,,-
东城,新景家园东区 ,2室2厅,78.03,983,125978,房本满五年,南北,简装,有电梯,低楼层(共13层)2005年建板塔结合,,-
东城,国瑞城中区 ,2室1厅,77.39,890,115002,房本满五年,南北,简装,有电梯,中楼层(共16层)2006年建板塔结合,,-
东城,灯市口西街5号院 ,3室1厅,68.77,890,129417,房本满五年,南北,简装,无,中楼层(共6层)1986年建板楼,,-
东城,青年湖北里 ,4室1厅,112.08,1200,107067,房本满五年,西南,精装,有电梯,底层(共18层)1999年建塔楼,,-
东城,望陶园小区 ,2室1厅,89.66,640,71381,房本满五年,西南,简装,有电梯,中楼层(共18层)2001年建塔楼,,-
东城,沙子口路50号 ,3室1厅,131.49,928,70576,房本满五年,东南西北,简装,有电梯,高楼层(共18层)1998年建塔楼,,-
东城,望陶园小区 ,3室1厅,134.11,895,66737,房本满五年,西南,简装,有电梯,高楼层(共18层)1999年建塔楼,,-
东城,安德路47号院 ,2室1厅,58.38,598,102433,房本满五年,南北,毛坯,无电梯,底层(共6层)1990年建板楼,,-
东城,和平里六区 ,2室1厅,89.05,880,98821,房本满五年,东南,其他,有电梯,中楼层(共17层)1998年建塔楼,,-
东城,锡拉胡同10号院 ,2室1厅,47.41,616,129931,房本满五年,南北,简装,无电梯,中楼层(共4层)1985年建板楼,,-
东城,瑞士公寓 ,1室1厅,81.93,770,93983,房本满五年,北,精装,有电梯,中楼层(共14层)2007年建塔楼,,-
东城,安外大街 ,3室1厅,81.73,817,99964,房本满五年,东北,其他,无,低楼层(共16层)1994年建板楼,,-
东城,万国城MOMA ,3室2厅,189.64,2200,116010,房本满五年,南北,精装,有电梯,中楼层(共25层)2002年建板塔结合,,-
东城,新奥洋房 ,2室1厅,95.91,815,84976,房本满五年,西,精装,有电梯,中楼层(共11层)2006年建板塔结合,,-
东城,花市枣苑一期 ,3室2厅,141.93,1500,105686,房本满五年,南西,简装,有电梯,高楼层(共18层)2002年建板塔结合,,-
东城,万国城MOMA ,3室1厅,140.06,1630,116379,房本满五年,西北,精装,有电梯,低楼层(共26层)2004年建塔楼,,-
东城,春秀路 ,2室1厅,62.54,710,113528,房本满五年,东南,简装,有电梯,低楼层(共21层)1992年建塔楼,,-
东城,东直门内大街 ,2室1厅,67.97,830,122113,房本满五年,东,精装,无,底层(共16层)2002年建塔楼,,-
东城,安外大街3号院 ,2室1厅,57.07,500,87612,房本满五年,东,简装,无,顶层(共12层)1988年建板塔结合,,-
东城,中海紫御公馆 ,2室2厅,90.08,1100,122114,房本满五年,南,精装,无,低楼层(共23层)2010年建板塔结合,,-
东城,新景家园东区 ,3室2厅,90.77,1060,116779,房本满五年,东西,简装,有电梯,中楼层(共17层)2005年建板塔结合,,-
东城,沙滩南巷 ,2室1厅,54.26,650,119794,房本满五年,南北,简装,无,顶层(共5层)1985年建板楼,,-
东城,崇文门西大街 ,2室1厅,57.78,668,115611,房本满五年,南北,精装,有电梯,低楼层(共12层)1970年建板塔结合,,-
东城,新中西街 ,1室1厅,39.43,460,116663,房本满五年,南西,简装,无电梯,顶层(共7层)1990年建板楼,,-
东城,法华南里 ,1室1厅,47.56,470,98823,,东,简装,无电梯,中楼层(共6层)1993年建板楼,,-
东城,民安小区东直门内北小街 ,2室1厅,59.82,788,131729,,西,简装,有电梯,低楼层(共16层)2003年建板楼,,-
东城,民安小区东直门内北小街 ,2室1厅,59.82,788,131729,房本满五年,西,简装,有电梯,低楼层(共16层)2003年建板楼,,-
东城,民旺园 ,2室1厅,56.2,655,116549,房本满五年,南,简装,无电梯,中楼层(共6层)1986年建板楼,,-
东城,天天家园 ,1室1厅,72.91,525,72007,房本满五年,西北,精装,有电梯,中楼层(共11层)2002年建板塔结合,,-
东城,悠胜美苑 ,3室1厅,44.31,550,124126,房本满五年,北,简装,有电梯,低楼层(共20层)2002年建板塔结合,,-
东城,安化北里 ,3室1厅,57.16,596,104269,房本满五年,南北,简装,无电梯,高楼层(共6层)1980年建板楼,,-
东城,东中街 ,3室1厅,77.82,830,106657,房本满五年,南,简装,有电梯,中楼层(共14层)1988年建板楼,,-
东城,东直门内大街 ,2室1厅,67.97,860,126527,房本满五年,东,精装,有电梯,高楼层(共16层)2002年建塔楼,,-
东城,青年湖东里 ,3室1厅,62.89,720,114486,房本满五年,南,简装,无电梯,顶层(共6层)1990年建板楼,,-
